Feature,Correlation,Mutual_Info,Random_Forest,Gradient_Boosting,Lasso,Average_Score
System power generated,1.0,1.0,1.0,1.0,1.0,1.0
Wind_Pressure_Interaction,0.9550992173136404,0.9678349210668352,0.26037419121678057,0.10931331926134703,0.0,0.45852432977172064
Wind speed,0.9554846021625294,0.9528851006757305,0.009646371659778918,0.02373646418217712,0.0030008128359115083,0.38895067030322555
Wind_Temp_Interaction,0.8207075563421927,0.30631956123554993,0.000550235606507642,0.00015838302600381927,0.001710726077779751,0.2258892924576068
DayOfYear,0.18060844783714586,0.07677207400647583,0.0005851845327769726,3.897842651227056e-05,0.0,0.05160093696058219
Hour_sin,0.2407636971375148,0.011574530103901326,0.0005255030990785484,4.00258588987141e-05,0.0014583435347179244,0.05087241994682227
Month_sin,0.22145280374794285,0.011045894731494697,0.00021258438803098103,0.0,0.0006223974673231734,0.04666673606695834
Month,0.17859247835207048,0.013032788669003271,0.00012153724680368213,1.0698857093409729e-05,0.0005569706942521921,0.03846289476384461
Hour,0.1754789597924294,0.013919112436027172,0.0005514920446845586,2.7527128779480697e-05,0.0009367635762981064,0.03818277099564374
WindDir_cos,0.15592745010216796,0.02700102293933467,0.0005500744449524258,5.133908469396336e-05,0.0009544978216082418,0.036896876878551456
WindDir_sin,0.14490407084388712,0.030858130982612107,0.0006054131300627381,5.933317944430186e-05,0.0,0.03528538962720126
Pressure,0.1325082211863082,0.0074638200647970275,0.000899285041627316,8.717954723190424e-05,0.0,0.02819170116799289
Wind direction,0.05305178855619022,0.03883228210520532,0.00048674458359055923,5.538026731404085e-06,0.0002529037945141475,0.01852585141324633
Month_cos,0.08139076122805425,0.0067835316069001575,0.0002449496194350577,1.3691211373359637e-05,0.0006076087254135288,0.017808108478235267
Hour_cos,0.042963476153210986,0.0062696718194310734,0.0004924597543977998,1.1855913052630987e-05,0.0012460465827341274,0.010196702044565324
DayOfWeek,0.048062329236907765,0.0,0.000434710397157731,8.435264738172553e-06,0.0,0.009701094979760733
Air temperature,0.009781785160077765,0.01849304441355626,0.00044915440017994214,4.698598885682437e-05,0.0,0.0057541939925341585
