iter	Passed	Remaining
245	3970	4099
246	3984	4081
247	4001	4065
248	4021	4053
249	4038	4038
250	4059	4026
251	4076	4011
252	4094	3996
253	4112	3982
254	4128	3966
255	4143	3949
256	4158	3931
257	4173	3914
258	4188	3897
259	4203	3880
260	4219	3863
261	4234	3846
262	4251	3831
263	4268	3816
264	4285	3800
265	4299	3782
266	4316	3766
267	4331	3749
268	4346	3732
269	4363	3716
270	4380	3701
271	4402	3690
272	4419	3674
273	4438	3660
274	4456	3646
275	4472	3630
276	4489	3614
277	4510	3601
278	4529	3587
279	4546	3572
280	4562	3556
281	4577	3538
282	4594	3522
283	4608	3505
284	4623	3488
285	4641	3473
286	4658	3457
287	4675	3441
288	4692	3425
289	4710	3411
290	4727	3395
291	4744	3379
292	4759	3362
293	4774	3345
294	4787	3327
295	4802	3309
296	4816	3291
297	4830	3274
298	4845	3257
299	4860	3240
300	4874	3222
301	4887	3204
302	4902	3187
303	4915	3169
304	4932	3153
305	4952	3139
306	4964	3121
307	4979	3104
308	4992	3086
309	5006	3068
310	5020	3050
311	5033	3032
312	5047	3015
313	5061	2998
314	5075	2980
315	5092	2964
316	5106	2947
317	5120	2930
318	5135	2913
319	5150	2897
320	5167	2881
321	5183	2865
322	5197	2848
323	5209	2830
324	5224	2813
325	5240	2796
326	5259	2782
327	5279	2768
328	5295	2752
329	5313	2737
330	5329	2721
331	5345	2704
332	5363	2689
333	5381	2674
334	5402	2660
335	5424	2647
336	5443	2633
337	5466	2620
338	5485	2605
339	5504	2590
340	5522	2574
341	5542	2560
342	5564	2546
343	5583	2532
344	5601	2516
345	5620	2501
346	5635	2484
347	5649	2467
348	5663	2450
349	5670	2430
350	5685	2413
351	5700	2396
352	5715	2380
353	5732	2364
354	5749	2348
355	5764	2331
356	5779	2314
357	5795	2298
358	5810	2282
359	5827	2266
360	5841	2249
361	5856	2232
362	5872	2216
363	5887	2199
364	5901	2182
365	5915	2165
366	5929	2148
367	5943	2132
368	5958	2115
369	5974	2099
370	5988	2082
371	6005	2066
372	6026	2051
373	6043	2036
374	6062	2020
375	6081	2005
376	6097	1989
377	6114	1973
378	6133	1958
379	6153	1943
380	6172	1927
381	6195	1913
382	6222	1900
383	6256	1890
384	6277	1875
385	6318	1866
386	6361	1857
387	6395	1846
388	6433	1835
389	6483	1828
390	6524	1818
391	6543	1802
392	6559	1785
393	6576	1769
394	6591	1752
395	6608	1735
396	6623	1718
397	6638	1701
398	6654	1684
399	6675	1668
400	6699	1653
401	6716	1637
402	6733	1620
403	6749	1603
404	6765	1586
405	6780	1569
406	6797	1553
407	6813	1536
408	6832	1520
409	6849	1503
410	6866	1486
411	6884	1470
412	6900	1453
413	6918	1437
414	6936	1420
415	6957	1404
416	6978	1389
417	6996	1372
418	7017	1356
419	7038	1340
420	7058	1324
421	7077	1308
422	7095	1291
423	7113	1275
424	7132	1258
425	7149	1241
426	7167	1225
427	7185	1208
428	7204	1192
429	7221	1175
430	7238	1158
431	7255	1142
432	7270	1125
433	7287	1108
434	7301	1091
435	7315	1073
436	7329	1056
437	7344	1039
438	7358	1022
439	7373	1005
440	7390	988
441	7408	972
442	7425	955
443	7442	938
444	7459	921
445	7481	905
446	7497	888
447	7513	872
448	7529	855
449	7547	838
450	7563	821
451	7578	804
452	7596	788
453	7615	771
454	7634	755
455	7652	738
456	7669	721
457	7686	704
458	7702	688
459	7717	671
460	7732	654
461	7746	637
462	7753	619
463	7770	602
464	7785	586
465	7801	569
466	7814	552
467	7828	535
468	7845	518
469	7860	501
470	7873	484
471	7887	467
472	7901	451
473	7915	434
474	7928	417
475	7942	400
476	7956	383
477	7970	366
478	7982	349
479	7996	333
480	8010	316
481	8024	299
482	8038	282
483	8053	266
484	8067	249
485	8082	232
486	8095	216
487	8109	199
488	8122	182
489	8136	166
490	8149	149
491	8163	132
492	8177	116
493	8191	99
494	8205	82
495	8221	66
496	8237	49
497	8253	33
498	8270	16
499	8286	0
