Model,MAE,RMSE,R²,MAPE (%),Training Time (s)
CatBoost,92.00697816549263,138.6349686161175,0.9903642783970149,1.921949238983081,8.562549352645874
Gradient Boosting,92.43792910301515,139.43376709209844,0.9902529186958565,1.9410953387748435,58.199798583984375
XGBoost,96.62258911132812,144.53536818457275,0.989526629447937,2.0207972526550293,2.0636463165283203
Random Forest,122.5339319745513,170.3490513608407,0.9854515037736061,2.5454455605220847,15.065783977508545
Linear Regression,447.65423583984375,535.6289818988513,0.856164276599884,9.137073516845703,0.013697624206542969
SVR,556.3177305447676,685.9132388167324,0.7641276481075696,10.86982356748256,1.1557023525238037
