Model,MAE,RMSE,R²,MAPE (%),Training Time (s)
CatBoost,20.020637051350846,31.910387411267543,0.99143097196183,1243131424.139802,3.2140161991119385
Random Forest,20.019773894140567,32.13789767384679,0.9913083478406945,1701298.892293313,2.3517136573791504
Gradient Boosting,20.470112859732634,33.168530212525944,0.9907419426960311,1043767051.0587202,7.326929569244385
XGBoost,21.010926516761828,33.93920425124989,0.9903067208196284,1201378032.6486344,1.8818039894104004
SVR,21.218467797033327,34.591654190173934,0.9899304497941686,5280809709.512292,2.41546893119812
Linear Regression,88.1246050003532,106.79396768061142,0.904024395932208,174535658907.8813,0.016890287399291992
